oracle_file	fn_name	tier	rule_hit
coding-agent/src/tui.rs	new	low	-
coding-agent/src/tui.rs	render_event	high	user-visible
coding-agent/src/tui.rs	render_harness_event	high	user-visible
coding-agent/src/tui.rs	render_persisted	high	user-visible
coding-agent/src/tui.rs	system_line	low	-
coding-agent/src/tui.rs	user_prompt_marker	low	-
coding-agent/src/ui/feed.rs	clear	low	-
coding-agent/src/ui/feed.rs	new	low	-
coding-agent/src/ui/feed.rs	push_user	low	-
coding-agent/src/ui/feed.rs	push_user_at	low	-
coding-agent/src/ui/listener.rs	agent_listener	low	-
coding-agent/src/ui/listener.rs	harness_listener	low	-
coding-agent/src/ui/mod.rs	banner	low	-
coding-agent/src/ui/mod.rs	error_line	low	-
coding-agent/src/ui/mod.rs	new	low	-
coding-agent/src/ui/mod.rs	replay	low	-
coding-agent/src/ui/mod.rs	run	low	-
coding-agent/src/ui/mod.rs	system_line	low	-
coding-agent/src/ui/relay.rs	push_snapshot	low	-
coding-agent/src/ui/relay.rs	shutdown	low	-
coding-agent/src/ui/relay.rs	start	low	-
coding-agent/src/ui/relay.rs	status_line	low	-
coding-agent/src/ui/web.rs	run_web	low	-
mcp/src/client.rs	catalog	low	-
mcp/src/client.rs	close	low	-
mcp/src/client.rs	initialize	low	-
mcp/src/client.rs	is_initialized	low	-
mcp/src/client.rs	new	low	-
mcp/src/client.rs	take_notifications	low	-
mcp/src/client.rs	tools_call	low	-
mcp/src/client.rs	tools_list	low	-
mcp/src/client.rs	with_timeout	low	-
mcp/src/http.rs	bearer	high	credential
mcp/src/http.rs	connect	low	-
mcp/src/http.rs	new	low	-
mcp/src/http.rs	set_auth	low	-
mcp/src/protocol.rs	make_notification	medium	-
mcp/src/protocol.rs	make_request	medium	-
mcp/src/stdio.rs	spawn	low	-
