kind	anchor	scope	count
rs-line	agent_harness.rs:943	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:949	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:952	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:954	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:957	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:969	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:970-972	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:973-975	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:979	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:98	packages/agent/src/harness/agent-harness.ts	1
rs-line	crates/coding-agent/src/triggers/dynamic.rs:557-595	packages/agent/src/harness/agent-harness.ts	1
rs-line	hooks.rs:743-747	packages/agent/src/harness/agent-harness.ts	1
rs-line	trigger_runtime.rs:80	packages/agent/src/harness/async-mutex.ts	1
rs-line	agent_harness.rs:1462	packages/agent/src/harness/async-queue.ts	1
rs-line	notification_hook.rs:27-29	packages/agent/src/harness/async-queue.ts	1
rs-line	notification_hook.rs:30	packages/agent/src/harness/async-queue.ts	1
rs-line	compaction.rs:535	packages/agent/src/harness/compaction/branch-summarization.ts	1
rs-line	compaction.rs:535-540	packages/agent/src/harness/compaction/branch-summarization.ts	1
rs-line	compaction.rs:819	packages/agent/src/harness/compaction/branch-summarization.ts	1
rs-line	crates/agent/src/harness/compaction/branch_summarization.rs:26	packages/agent/src/harness/compaction/branch-summarization.ts	1
rs-line	agent_harness.rs:2088-2090	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:245-269	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:371-379	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:398-436	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:398-484	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:439-457	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:459-484	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:496	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:640	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:643-651	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	compaction.rs:672	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:100-113	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:138-141	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:144-154	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:200-206	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:345-484	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:349	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:354-369	packages/agent/src/harness/compaction/compaction.ts	2
rs-line	crates/agent/src/harness/compaction/compaction.rs:661-692	packages/agent/src/harness/compaction/compaction.ts	3
rs-line	crates/agent/src/harness/compaction/compaction.rs:78-85	packages/agent/src/harness/compaction/compaction.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:286-342	packages/agent/src/harness/compaction/utils.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:290-304	packages/agent/src/harness/compaction/utils.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:305-326	packages/agent/src/harness/compaction/utils.ts	1
rs-line	crates/agent/src/harness/compaction/compaction.rs:327-335	packages/agent/src/harness/compaction/utils.ts	1
rs-line	agent_harness.rs:1716-1729	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:108-127	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:31-33	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:52-54	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:56-58	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:58-73	packages/agent/src/harness/cost.ts	2
rs-line	cost.rs:60-73	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:75-89	packages/agent/src/harness/cost.ts	1
rs-line	cost.rs:95-105	packages/agent/src/harness/cost.ts	1
rs-line	env/native.rs:285-302	packages/agent/src/harness/env/nodejs.ts	1
rs-line	env/native.rs:61-68	packages/agent/src/harness/env/nodejs.ts	1
rs-line	env/native.rs:94-100	packages/agent/src/harness/env/nodejs.ts	1
rs-line	native.rs:269-283	packages/agent/src/harness/env/nodejs.ts	1
rs-line	notification_hook.rs:104-130	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:107	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:110	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:113	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:129	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:135-150	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:158	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:159-173	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:30	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:39-53	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:57	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:66-96	packages/agent/src/harness/notification-hook.ts	1
rs-line	notification_hook.rs:9-12	packages/agent/src/harness/notification-hook.ts	1
rs-line	permission.rs:101-103	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:110-151	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:155-170	packages/agent/src/harness/permission.ts	1
